"","X","school.name","lat","lon","addr","zipcode","borough"
"1",1,"Young Women's Leadership School, Queens",40.7083678,-73.8040135,"150-91 87th Rd, Jamaica, NY 11432, USA",11432,"Queens"
"2",2,"Young Women's Leadership School, Astoria",40.7712552,-73.924167,"23-15 Newtown Ave, Astoria, NY 11102, USA",11102,"Queens"
"3",3,"Young Women's Leadership School of Brooklyn",40.7049715,-73.9389751,"325 Bushwick Ave, Brooklyn, NY 11206, USA",11206,"Brooklyn"
"4",4,"Young Women's Leadership School",40.792935,-73.9471679,"105 E 106th St #9, New York, NY 10029, USA",10029,"Manhattan"
"5",5,"York Early College Academy",40.697102,-73.7865575,"108-35 167th St, Jamaica, NY 11433, USA",11433,"Queens"
"6",6,"World View High School",40.8813441,-73.8872867,"100 W Mosholu Pkwy S, Bronx, NY 10468, USA",10468,"Bronx"
"7",7,"World Journalism Preparatory: A College Board Scho",40.7648343,-73.7897125,"34-65 192nd St, Flushing, NY 11358, USA",11358,"Queens"
"8",8,"World Academy for Total Community Health High Scho",40.6668454,-73.8952889,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA",11207,"Brooklyn"
"9",9,"Women's Academy of Excellence",40.8149607,-73.8560605,"456 White Plains Rd, Bronx, NY 10473, USA",10473,"Bronx"
"10",10,"Wings Academy",40.8416248,-73.8751818,"1122 E 180th St, Bronx, NY 10460, USA",10460,"Bronx"
"11",11,"Williamsburg Preparatory School",40.715345,-73.9547924,"257 N 6th St, Brooklyn, NY 11211, USA",11211,"Brooklyn"
"12",12,"Williamsburg High School for Architecture and Desi",40.7154923,-73.9550398,"257 N 6th St, Brooklyn, NY 11211, USA",11211,"Brooklyn"
"13",13,"Williamsburg Collegiate Charter School",40.7059027,-73.9620195,"157 Wilson St, Brooklyn, NY 11211, USA",11211,"Brooklyn"
"14",14,"Williamsburg Charter High School",40.7035099,-73.9358033,"198 Varet St, Brooklyn, NY 11206, USA",11206,"Brooklyn"
"15",15,"William E. Grady Career and Technical Education Hi",40.5832553,-73.9634295,"25 Brighton 4th Rd, Brooklyn, NY 11235, USA",11235,"Brooklyn"
"16",16,"William Cullen Bryant High School",40.757456,-73.9106198,"4810 31st Ave, Long Island City, NY 11103, USA",11103,"Queens"
"17",17,"Westchester Square Academy",40.8400627,-73.838045,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461,"Bronx"
"18",18,"West Bronx Academy for the Future",40.8595423,-73.8885964,"500 E Fordham Rd, Bronx, NY 10458, USA",10458,"Bronx"
"19",19,"Washington Irving High School",40.7355487,-73.9874908,"40 Irving Pl, New York, NY 10003, USA",10003,"Manhattan"
"20",20,"Washington Heights Expeditionary Learning School",40.8490987,-73.9311063,"511 W 182nd St, New York, NY 10033, USA",10033,"Manhattan"
"21",21,"Wadleigh Secondary School for the Performing & Vis",40.8025744,-73.9541403,"215 W 114th St, New York, NY 10026, USA",10026,"Manhattan"
"22",22,"W. H. Maxwell Career and Technical Education High",40.6738562,-73.8961578,"145 Pennsylvan Ave, Brooklyn, NY 11207, USA",11207,"Brooklyn"
"23",23,"Victory Collegiate High School",40.6335392,-73.9174421,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",11236,"Brooklyn"
"24",24,"Veritas Academy",40.7650103,-73.8268537,"35-01 Union St, Flushing, NY 11354, USA",11354,"Queens"
"25",25,"Vanguard High School",40.7653683,-73.9596962,"317 E 67th St, New York, NY 10065, USA",10065,"Manhattan"
"26",26,"Validus Preparatory Academy: An Expeditionary Lear",40.8394126,-73.9019033,"1595 Bathgate Ave, Bronx, NY 10457, USA",10457,"Bronx"
"27",27,"Urban Assembly School of Design and Construction,",40.765536,-73.993163,"525 W 50th St, New York, NY 10019, USA",10019,"Manhattan"
"28",28,"Urban Assembly School of Business for Young Women,",40.7054423,-74.0128882,"26 Broadway, New York, NY 10004, USA",10004,"Manhattan"
"29",29,"Urban Assembly School for Wildlife Conservation",40.8439832,-73.8844851,"2024 Mohegan Ave, Bronx, NY 10460, USA",10460,"Bronx"
"30",30,"Urban Assembly School for the Performing Arts",40.8157451,-73.9556,"509 W 129th St, New York, NY 10027, USA",10027,"Manhattan"
"31",31,"Urban Assembly School for Media Studies, The",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA",10023,"Manhattan"
"32",32,"Urban Assembly School for Criminal Justice",40.634902,-73.9824061,"4200 16th Ave, Brooklyn, NY 11204, USA",11204,"Brooklyn"
"33",33,"Urban Assembly School for Careers in Sports",40.8225735,-73.9235453,"730 Concourse Village W, Bronx, NY 10451, USA",10451,"Bronx"
"34",34,"Urban Assembly School for Applied Math and Science",40.8394571,-73.9018947,"1595 Bathgate Ave, Bronx, NY 10457, USA",10457,"Bronx"
"35",35,"Urban Assembly New York Harbor School",40.6907422,-74.0205672,"550 Short Ave, Brooklyn, NY 11231, USA",11231,"Brooklyn"
"36",36,"Urban Assembly Maker Academy",40.7110242,-74.0016572,"411 Pearl St #417, New York, NY 10038, USA",10038,"Manhattan"
"37",37,"Urban Assembly Institute of Math and Science for Y",40.6946578,-73.9883234,"283 Adams St, Brooklyn, NY 11201, USA",11201,"Brooklyn"
"38",38,"Urban Assembly High School of Music and Art",40.697313,-73.9846925,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",11201,"Brooklyn"
"39",39,"Urban Assembly Gateway School for Technology",40.7639937,-73.9904866,"439 W 49th St, New York, NY 10019, USA",10019,"Manhattan"
"40",40,"Urban Assembly Academy of Government and Law, The",40.717321,-73.989323,"350 Grand St, New York, NY 10002, USA",10002,"Manhattan"
"41",41,"Urban Action Academy",40.640423,-73.8984517,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",11236,"Brooklyn"
"42",42,"University Prep Charter High School",40.8145265,-73.9123068,"600 St Ann's Ave, Bronx, NY 10455, USA",10455,"Bronx"
"43",43,"University Neighborhood High School",40.71226,-73.9838742,"200 Monroe St, New York, NY 10002, USA",10002,"Manhattan"
"44",44,"University Heights Secondary School",40.8181071,-73.9114331,"701 St Ann's Ave, Bronx, NY 10455, USA",10455,"Bronx"
"45",45,"Unity Center for Urban Technologies",40.7241219,-74.0051608,"121 6th Ave, New York, NY 10013, USA",10013,"Manhattan"
"46",46,"Union Square Academy for Health Sciences",40.7354911,-73.9874171,"40 Irving Pl, New York, NY 10003, USA",10003,"Manhattan"
"47",47,"Transit Tech Career and Technical Education High S",40.678748,-73.8752132,"1 Wells St, Brooklyn, NY 11208, USA",11208,"Brooklyn"
"48",48,"Townsend Harris High School",40.7349867,-73.821365,"149-11 Melbourne Ave, Flushing, NY 11367, USA",11367,"Queens"
"49",49,"Tottenville High School",40.5278857,-74.1932553,"100 Luten Ave, Staten Island, NY 10312, USA",10312,"Staten Island"
"50",50,"Thurgood Marshall Academy for Learning and Social",40.8152252,-73.9443209,"200-214 W 135th St, New York, NY 10030, USA",10030,"Manhattan"
"51",51,"Thomas A. Edison Career and Technical Education Hi",40.7162714,-73.7983076,"165-65 84th Ave, Jamaica, NY 11432, USA",11432,"Queens"
"52",52,"Theatre Arts Production Company School",40.8546548,-73.8970362,"2225 Webster Avenue, Bronx, NY 10457, United States",10457,"Bronx"
"53",53,"The Urban Assembly School for Law and Justice",40.6946132,-73.9883212,"283 Adams St, Brooklyn, NY 11201, USA",11201,"Brooklyn"
"54",54,"The Urban Assembly School for Green Careers",40.785994,-73.97417,"145 W 84th St, New York, NY 10024, USA",10024,"Manhattan"
"55",55,"The Urban Assembly School for Global Commerce",40.8069921,-73.9386038,"2005 Madison Ave, New York, NY 10035, USA",10035,"Manhattan"
"56",56,"The Urban Assembly School for Emergency Management",40.7110316,-74.0013216,"411 Pearl St, New York, NY 10038, USA",10038,"Manhattan"
"57",57,"The Urban Assembly School for Collaborative Health",40.6929603,-73.8690232,"999 Jamaica Ave, Brooklyn, NY 11208, USA",11208,"Brooklyn"
"58",58,"The Urban Assembly Bronx Academy of Letters",40.81366,-73.925999,"339 Morris Ave, Bronx, NY 10451, USA",10451,"Bronx"
"59",59,"The Uft Charter School",40.6598508,-73.8855899,"800 Van Siclen Ave, Brooklyn, NY 11207, USA",11207,"Brooklyn"
"60",60,"The School for Classics: An Academy of Thinkers, W",40.6695156,-73.8741107,"370 Fountain Ave, Brooklyn, NY 11208, USA",11208,"Brooklyn"
"61",61,"The Opportunity Charter School",40.8014375,-73.955707,"240 W 113th St, New York, NY 10026, USA",10026,"Manhattan"
"62",62,"The Michael J. Petrides School",40.6081534,-74.1055942,"715 Ocean Terrace, Staten Island, NY 10301, USA",10301,"Staten Island"
"63",63,"The Metropolitan Soundview High School",40.8321278,-73.8777215,"1300 Boynton Ave, Bronx, NY 10472, USA",10472,"Bronx"
"64",64,"The Marie Curie School for Medicine, Nursing, and",40.8755907,-73.9017195,"120 W 231st St, Bronx, NY 10463, USA",10463,"Bronx"
"65",65,"The High School of Fashion Industries",40.74566,-73.996412,"225 W 24th St, New York, NY 10011, USA",10011,"Manhattan"
"66",66,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",40.7353237,-73.9870812,"40 Irving Pl, New York, NY 10003, USA",10003,"Manhattan"
"67",67,"The High School for Global Citizenship",40.6699561,-73.9611201,"883 Classon Ave, Brooklyn, NY 11225, USA",11225,"Brooklyn"
"68",68,"The High School for Enterprise, Business and Techn",40.711777,-73.9392113,"850 Grand St, Brooklyn, NY 11211, USA",11211,"Brooklyn"
"69",69,"The Global Learning Collaborative",40.785992,-73.9743724,"145 W 84th St, New York, NY 10024, USA",10024,"Manhattan"
"70",70,"The Equality Charter School",40.8641362,-73.8239598,"4140 Hutchinson River Pkwy E, Bronx, NY 10475, USA",10475,"Bronx"
"71",71,"The College Academy",40.8608456,-73.9301494,"4600 Broadway, New York, NY 10040, USA",10040,"Manhattan"
